date,BlkCnt,CapMrktCurUSD,TxCnt,AdrActCnt,PriceUSD,Trends,FearGreed
2020-06-29,145.0,169157750925.37515,314488.0,962232.0,9184.24736627703,0.77625,0.41
2020-06-30,147.0,168424268927.21072,306323.0,926238.0,9143.96758530099,0.7772,0.44
2020-07-01,162.0,170227137442.6157,378081.0,1078007.0,9241.33961239041,0.77375,0.42
2020-07-02,164.0,167529570926.75986,339419.0,951042.0,9094.38728679135,0.7633333333333333,0.42
2020-07-03,163.0,167028603057.3506,327948.0,944676.0,9066.69069661017,0.7341666666666667,0.41
2020-07-04,157.0,168134212097.31125,292761.0,799989.0,9126.21955493863,0.7025,0.4
2020-07-05,163.0,167284838602.93985,273114.0,771473.0,9079.61401808884,0.7066666666666667,0.38
2020-07-06,154.0,172071754943.9324,337284.0,989688.0,9338.94259117475,0.76,0.4
2020-07-07,161.0,170482056186.43045,349022.0,969354.0,9252.15873261251,0.6948000000000001,0.43
2020-07-08,151.0,173852067499.54385,347004.0,1024085.0,9434.56795645821,0.67,0.44
2020-07-09,164.0,170119612182.24487,360126.0,1033334.0,9231.50234751607,0.65375,0.44
2020-07-10,161.0,171118891700.69153,345294.0,976205.0,9285.22101542957,0.6229166666666667,0.41
2020-07-11,156.0,170242376319.11676,310565.0,885970.0,9237.17100818235,0.5920833333333334,0.44
2020-07-12,152.0,171208222386.19006,280425.0,745665.0,9289.09797691408,0.5954166666666666,0.41
2020-07-13,147.0,170249528195.09436,311275.0,909653.0,9236.62250116891,0.62375,0.43
2020-07-14,144.0,170695336818.95126,357160.0,993499.0,9260.3569868498,0.3204,0.43
2020-07-15,138.0,169530356543.2783,318436.0,971186.0,9196.72555897136,0.08833333333333333,0.44
2020-07-16,136.0,168355901495.54816,347671.0,966383.0,9132.59231209818,0.10583333333333333,0.43
2020-07-17,118.0,168802806794.04153,290533.0,847984.0,9156.46870976037,0.08041666666666666,0.41
2020-07-18,130.0,169168582934.48605,313304.0,892684.0,9175.90530859147,0.11291666666666667,0.44
2020-07-19,131.0,169967724887.16434,274629.0,872974.0,9218.84231081239,0.0725,0.41
2020-07-20,141.0,169023500679.14856,312187.0,940265.0,9167.19056750439,0.06916666666666667,0.44
2020-07-21,125.0,173112681691.1186,313100.0,927506.0,9388.57434979544,0.1916,0.44
2020-07-22,144.0,175752143889.948,362798.0,1017627.0,9531.2574301578,0.26958333333333334,0.5
2020-07-23,136.0,177196924217.30652,336506.0,977856.0,9609.16671537113,0.29875,0.55
2020-07-24,161.0,176080450187.27267,369218.0,1083981.0,9548.1007270602,0.28875,0.53
2020-07-25,142.0,178935530196.2443,290603.0,972156.0,9702.45279047341,0.2966666666666667,0.55
2020-07-26,158.0,183213878780.36783,301312.0,999311.0,9933.90655423729,0.35,0.55
2020-07-27,149.0,203744198144.59204,325521.0,1022491.0,11046.5083295149,0.5116666666666666,0.58
2020-07-28,145.0,201874736728.9706,354433.0,1059084.0,10944.6129789012,0.6696,0.76
2020-07-29,148.0,205042054834.9217,348023.0,1039672.0,11115.7712819988,0.635,0.71
2020-07-30,135.0,205413351537.44217,329417.0,968423.0,11135.3907261835,0.5666666666666667,0.76
2020-07-31,153.0,209165345431.3837,355688.0,1062923.0,11338.1973407949,0.5770833333333334,0.75
2020-08-01,137.0,217650107985.90485,292274.0,954055.0,11797.5821265342,0.6979166666666667,0.75
2020-08-02,141.0,204680087352.34372,287133.0,950873.0,11094.0206841321,0.735,0.8
2020-08-03,162.0,207312688746.4309,334722.0,1080975.0,11236.0956805377,0.6083333333333334,0.75
2020-08-04,145.0,206705783553.83926,331448.0,1003351.0,11202.651909059,0.6559999999999999,0.72
2020-08-05,129.0,216287626623.5641,291603.0,957619.0,11721.4384715956,0.7545833333333333,0.75
2020-08-06,156.0,217182425567.12646,355285.0,1120216.0,11769.3091081239,0.8083333333333332,0.79
2020-08-07,152.0,214050110955.4352,327415.0,1049182.0,11598.9690585038,0.75875,0.77
2020-08-08,142.0,216718673196.2909,277399.0,951540.0,11743.0086350088,0.6941666666666667,0.77
2020-08-09,156.0,215576777624.0283,275199.0,911571.0,11680.5173661601,0.6766666666666667,0.79
2020-08-10,137.0,219090872112.69235,307280.0,967780.0,11870.3695447107,0.7758333333333333,0.78
2020-08-11,154.0,210284480461.03638,348465.0,1086328.0,11392.6440884278,0.726,0.84
2020-08-12,157.0,213671208433.45825,342524.0,1049344.0,11575.5124736996,0.66,0.75
2020-08-13,147.0,217335699187.2392,330257.0,952528.0,11773.4481155465,0.64125,0.75
2020-08-14,167.0,217365712666.77783,364429.0,1086754.0,11774.4082518995,0.6516666666666667,0.78
2020-08-15,156.0,219084951477.1745,309355.0,973628.0,11866.9103613092,0.6266666666666666,0.79
2020-08-16,152.0,219700556192.07544,293129.0,892624.0,11899.6427535944,0.6204166666666666,0.82
2020-08-17,125.0,227392906120.48355,289826.0,878796.0,12315.7624166569,0.73125,0.83
2020-08-18,140.0,221438441189.45932,345122.0,1008612.0,11992.6959962595,0.8244,0.82
